1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
2 0 10 -nan 0 -nan 0 103.516 0 0.444444 0.119945 69.9055 -nan -nan 0 0 
3 0 10 0.0081 28.6056 1 0 103.516 0 0.49763 0.0440261 51.751 0.0081 -nan 28.6056 0 
4 0 10 0.00761018 69.7633 0.562824 0.00421277 103.516 0 -nan inf 0 0.00762214 0.0075948 39.2645 30.4988 
5 0 10 0.00879384 81.3391 0.753986 0.0193995 91.3313 0 -nan inf 0 0.00812705 0.0108374 61.3286 20.0105 
6 0 10 0.0613816 25.9256 0.541926 0 103.335 0 0.47482 0.0104157 179.077 0.0552678 0.0686145 14.0497 11.8758 
7 0 10 0.0471582 39.5214 0.751634 0.00192795 147.88 0 0.525115 0.0179948 226.277 0.0491452 0.0411448 29.7057 9.81577 
8 0 10 0.0583408 75.4706 0.744448 0.0146653 143.089 0 0.686292 0.0309823 305.528 0.0555889 0.0663572 56.184 19.2867 
9 0 10 0.0649088 124.813 0.818428 0.0328219 107.376 0 0.490779 0.016506 82.121 0.0516404 0.124715 102.15 22.6624 
10 2 10 0.0549933 12.8715 0.622747 0.00971775 74.9207 0.916186 0.650716 0.00848375 71.1084 0.0582341 0.0496438 8.01566 4.8558 
11 0 8 0.0705423 13.5251 0.709987 0 75.0818 0 0.600541 0.0066554 55.7323 0.0650616 0.0839595 9.60267 3.92247 
12 0 8 0.0592365 13.4824 0.329252 0 75.9263 0 0.582682 0.00528783 100.204 0.0527494 0.0624209 4.43911 9.04331 
13 0 8 0.0421649 22.2254 0.314323 0 68.1804 0 0.590315 0.00490194 57.1129 0.0505253 0.0383324 6.98598 15.2395 
14 0 8 0.05965 28.1424 0.432517 0 65.9182 0 0.619516 0.00347574 116.906 0.0622258 0.0576869 12.1721 15.9703 
15 0 8 0.0424684 31.5286 0.465665 0 61.5588 0 0.571429 0.00349288 28.2631 0.0478312 0.0377948 14.6818 16.8468 
16 0 8 0.0551756 8.18335 0.0527684 0 86.3601 0 0.571542 0.00308326 119.061 0.0474954 0.0556034 0.431822 7.75152 
17 0 10 0.0585733 22.2388 0.49247 0.00853306 83.6337 0 0.577414 0.004624 102.142 0.0614454 0.0557864 10.9519 11.2868 
18 0 10 0.0597185 23.9484 0.609912 0.00471793 83.3147 0 0.580395 0.00346388 116.896 0.059492 0.0600726 14.6064 9.34198 
19 0 10 0.0537545 31.3556 0.704872 0 69.4329 0 0.613126 0.00244076 110.169 0.0517676 0.0585001 22.1017 9.25392 
20 0 10 0.0562035 31.7105 0.694723 0.00152477 83.7928 0 0.48915 0.00284686 146.028 0.0562407 0.056119 22.03 9.6805 
21 0 10 0.0547719 56.0704 0.741642 0 115.714 0 0.642213 0.00222163 236.442 0.0542092 0.0563873 41.5842 14.4862 
22 0 10 0.0593747 78.9478 0.794085 0.009165 97.8826 0 0.63424 0.00377038 173.211 0.0608915 0.0535252 62.6913 16.2565 
23 0 10 0.0494834 109.271 0.626943 0.0126368 110.12 0 0.486099 0.00624456 337.738 0.047202 0.0533174 68.5066 40.7642 
24 0 10 0.0598729 127.963 0.651206 0.00177094 113.778 0 0.574006 0.0016536 305.291 0.0438313 0.089823 83.3301 44.6327 
25 0 10 0.0460027 129.508 0.686901 0.00124064 116.64 0 0.564095 0.00132351 278.868 0.0445206 0.0492541 88.9593 40.5488 
26 0 10 0.0413168 180.503 0.554211 0 180.407 0 0.51626 0.00094305 529.155 0.0423345 0.0400516 100.037 80.4662 
27 0 10 0.0460739 195.757 0.521855 4.30684e-15 195.984 0 0.597825 0.000874357 537.544 0.0523396 0.0392354 102.157 93.6002 
28 0 10 0.0402265 189.085 0.547738 0.0231849 164.753 0 0.439299 0.0191493 329.588 0.0386813 0.0420978 103.569 85.5158 
29 0 10 0.0900165 125.956 0.55508 0.0367428 144.448 0 0.669832 0.00693014 269.655 0.0429121 0.148784 69.9157 56.0405 
30 1 10 0.0453719 103.443 0.663089 0.0324341 91.0802 27.1081 0.635032 0.00650088 175.142 0.039692 0.0565509 68.5916 34.8509 
31 3 9 0.0308439 22.4136 0.605486 -0.0231386 48.9878 24.6905 0.877622 0.000726254 33.6083 0.0291631 0.0334234 13.5711 8.84249 
32 0 6 0.0316274 14.1573 0.932023 0 61.0542 0 0.88754 0.000604844 49.8122 0.0310999 0.0388594 13.1949 0.962368 
