1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
41 0 9 0.0408864 254.475 0.671745 0 378.12 0 0.668403 1.73575e-06 765.071 0.0415183 0.0395932 170.942 83.5325 
42 0 9 0.0498905 299.155 0.647278 0 360.211 0 0.576587 1.29044e-06 827.901 0.0478448 0.0536444 193.636 105.519 
43 0 9 0.0503881 295.719 0.649815 0.0232552 335.524 0 0.612056 0.0188545 842.861 0.0497677 0.0515392 192.163 103.556 
44 1 10 0.0424805 155.771 0.568969 0.00161874 220.467 4.82603 0.362875 0.00805052 80.2832 0.0432418 0.0414756 88.6287 67.1419 
45 0 9 0.0366658 133.946 0.462478 0.00568676 207.791 0 0.327103 0.0342189 91.0099 0.03253 0.0402242 61.9468 71.9988 
46 0 9 0.0386658 126.842 0.467245 0 169.983 0 0.331562 1.88484e-06 50.8672 0.0391943 0.0382023 59.2661 67.5756 
47 0 9 0.0350988 107.904 0.458184 0.000870438 145.842 0 0.340177 0.0353139 27.8504 0.034083 0.0359579 49.44 58.4644 
48 0 9 0.0446015 109.867 0.455638 0.00281414 121.075 0 0.389718 0.0935937 50.5608 0.0401278 0.048346 50.0595 59.8074 
49 2 9 0.0313626 81.3903 0.485231 0 86.847 21.6667 0.604977 3.86127e-06 4.6405 0.0354048 0.0275524 39.4931 41.8972 
50 0 7 0.0383758 61.7762 0.509937 0.00403195 63.4492 0 0.674187 0.000714121 13.8244 0.0341337 0.0427899 31.502 30.2742 
51 1 8 0.038341 4.51865 0.0436722 0.00441662 80.7915 2.71477 0.770334 0.000285194 72.9626 0.0248654 0.0389564 0.197339 4.32131 
52 0 7 0.0376543 9.16991 0.314925 0 87.7434 0 0.745589 1.46863e-07 85.7296 0.0266275 0.0427232 2.88784 6.28208 
53 0 7 0.0423012 12.6605 0.287553 0 113.161 0 0.7515 1.06937e-07 131.387 0.0387999 0.0437143 3.64055 9.01993 
54 0 7 0.0523981 28.0863 0.645802 0 97.4766 0 0.520637 8.58847e-08 124.669 0.054711 0.0481809 18.1381 9.9481 
55 0 7 0.0384004 49.6676 0.701287 0.00666696 118.755 0 0.385184 0.00801818 187.642 0.0381831 0.0389106 34.8313 14.8364 
56 0 9 0.0300651 42.9452 0.718772 0.00209526 170.301 0 0.355936 0.000184376 245.224 0.0274375 0.0367808 30.8678 12.0774 
57 0 9 0.0390192 36.9551 0.696532 0 195.997 0 0.407988 3.51546e-08 279.925 0.0396466 0.037579 25.7404 11.2147 
58 0 10 0.0369465 40.1878 0.667727 0.0325162 147.838 0 0.434497 0.0444415 232.424 0.0334287 0.0440159 26.8345 13.3533 
59 0 10 0.0553996 49.1348 0.725961 0.0167134 144.99 0 0.623518 0.00605891 328.546 0.0521649 0.0639686 35.6699 13.4648 
60 0 10 0.0459401 86.4721 0.613878 0 169.32 0 0.565195 2.42007e-08 399.555 0.0384035 0.0579222 53.0833 33.3887 
61 0 10 0.0286484 113.54 0.543004 0.0109642 171.61 0 0.550166 0.00168174 320.12 0.0276963 0.0297796 61.6525 51.8871 
62 0 10 0.0429811 120.013 0.483885 0 313.017 0 0.570261 1.4454e-08 797.308 0.0369675 0.0486192 58.0724 61.9405 
