1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
44 0 10 0.0284525 20.4548 0.645832 0 63.1913 0 0.458161 0.000223499 72.3341 0.0295131 0.0265186 13.2104 7.24444 2.9998
45 0 10 0.0150314 30.1601 0.670648 0 55.238 0 0.500247 0.000213196 64.6832 0.0161814 0.0126897 20.2268 9.9333 2.9998
46 0 10 0.0358355 42.4258 0.677299 0 65.5174 0 0.525941 0.000199986 104.734 0.0378778 0.0315491 28.7349 13.6908 2.9998
47 0 10 0.0301355 46.7821 0.654026 0 69.1498 0 0.478818 0.000179545 86.8418 0.0331638 0.0244109 30.5967 16.1854 2.9998
48 0 10 0.0357545 48.9567 0.676791 0 67.5407 0 0.543788 0.000172221 104.837 0.0363011 0.0346102 33.1334 15.8233 2.9998
49 0 10 0.0263101 53.6743 0.6422 0 65.7302 0 0.535212 0.000154665 82.6777 0.0281734 0.0229657 34.4696 19.2047 2.9998
50 0 10 0.0322183 49.3761 0.479037 0 55.8408 0 0.53979 0.000143592 82.9934 0.0339964 0.0305832 23.653 25.7231 2.9998
51 0 10 0.0231384 45.2015 0.557892 0 49.7681 0 0.526462 0.000125599 56.6598 0.0297671 0.0147736 25.2176 19.9839 2.9998
52 0 10 0.0284774 30.4041 0.519442 0 41.7157 0 0.647919 0.00013832 56.8469 0.0296988 0.0271571 15.7932 14.611 2.9998
53 0 10 0.0239334 32.0482 0.583541 0.0030513 31.8284 0 0.551216 0.00215837 27.9835 0.0231536 0.0250261 18.7014 13.3468 2.9987
54 0 10 0.025983 20.6683 0.545835 0 29.8678 0 0.601495 0.000131625 34.8826 0.0203468 0.0327569 11.2815 9.3868 2.9998
55 0 10 0.0126847 19.3735 0.6174 0 33.2358 0 0.557746 0.000122865 28.2818 0.0120291 0.0137427 11.9612 7.41229 2.9998
56 0 10 0.0284682 20.0774 0.62839 0 34.3793 0 0.630988 0.000102079 38.1604 0.0286731 0.0281216 12.6165 7.46096 2.9998
57 0 10 0.016955 24.2117 0.636173 0 30.0054 0 0.525153 9.42246e-05 18.1308 0.0187517 0.0138134 15.4028 8.80886 2.9998
58 0 10 0.0184127 15.36 0.641362 0 27.3407 0 0.678726 8.91416e-05 27.4477 0.0212988 0.0132515 9.85135 5.50869 2.9998
59 0 10 0.0300041 12.9482 0.553701 0 26.1239 0 0.649425 9.02835e-05 29.3307 0.030648 0.0292052 7.16945 5.77878 2.9998
60 0 10 0.032328 12.9653 0.568881 4.7184e-05 24.7702 0 0.570569 0.00158941 22.9861 0.0320889 0.0326437 7.37572 5.58958 2.99979
61 1 10 0.0274031 9.88367 0.602924 0 24.6413 0.245627 0.610667 6.85647e-05 21.4461 0.0291562 0.0247412 5.9591 3.92457 2.9998
62 0 9 0.0269363 9.81912 0.688916 0 21.9533 0 0.701733 5.85828e-05 22.8037 0.0280427 0.0244861 6.76454 3.05457 2.9998
63 0 9 0.0302079 9.00565 0.602441 0 21.3024 0 0.626358 5.95595e-05 19.3375 0.0291851 0.0317577 5.42538 3.58027 2.9998
64 0 9 0.0307725 10.3114 0.659304 0 20.6791 0 0.620712 4.93724e-05 15.4634 0.0316281 0.0291168 6.79835 3.51305 2.9998
